2017-09-22 18:36:57,312 | testname |WARNING | Method: Main       | Line No: 99    | Message: test warning
2017-09-22 18:36:57,315 | testname |CRITICAL | Method: Main       | Line No: 100   | Message: test critical
2017-09-22 18:36:57,315 | testname |WARNING | Method: Main       | Line No: 101   | Message: test warning
2017-09-22 18:36:57,322 | testname |ERROR | Method: Main       | Line No: 103   | Message: test error
2017-09-22 18:37:12,088 | testname |WARNING | Method: Main       | Line No: 99    | Message: test warning
2017-09-22 18:37:12,089 | testname |CRITICAL | Method: Main       | Line No: 100   | Message: test critical
2017-09-22 18:37:12,091 | testname |WARNING | Method: Main       | Line No: 101   | Message: test warning
2017-09-22 18:37:12,092 | testname |ERROR | Method: Main       | Line No: 103   | Message: test error
2017-09-22 18:37:17,313 | testname |WARNING | Method: Main       | Line No: 99    | Message: test warning
2017-09-22 18:37:17,315 | testname |CRITICAL | Method: Main       | Line No: 100   | Message: test critical
2017-09-22 18:37:17,316 | testname |WARNING | Method: Main       | Line No: 101   | Message: test warning
2017-09-22 18:37:17,319 | testname |ERROR | Method: Main       | Line No: 103   | Message: test error
